date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 04:25,1027,0,0,0,10.46,78,0,13.75
02/10/2015 04:26,1027,0,0,0,10.43,78.1,0,13.75
02/10/2015 04:27,1027,0,0,0,10.43,78.2,0,13.76
02/10/2015 04:28,1027,0,0,0,10.42,78.2,0,13.75
02/10/2015 04:29,1027,0,0,0,10.45,78.2,0,13.75
02/10/2015 04:30,1026,0,0,0,10.45,78.2,0,13.75
02/10/2015 04:31,1026,0,0,0,10.45,78.1,0,13.76
02/10/2015 04:32,1026,0,0,0,10.44,78,0,13.76
02/10/2015 04:33,1026,0,0,0,10.44,78.2,0,13.76
02/10/2015 04:34,1026,0,0,0,10.43,78.2,0,13.76
02/10/2015 04:35,1026,0,0,0,10.43,78.3,0,13.76
02/10/2015 04:36,1026,0,0,0,10.43,78.3,0,13.76
02/10/2015 04:37,1026,0,0,0,10.46,78.7,0,13.76
02/10/2015 04:38,1026,0,0,0,10.46,79,0,13.76
02/10/2015 04:39,1026,0,0,0,10.55,78.9,0,13.75
02/10/2015 04:40,1026,0,0,0,10.48,78.8,0,13.76
02/10/2015 04:41,1026,0,0,0,10.45,79.2,0,13.76
02/10/2015 04:42,1026,0,0,0,10.52,79.5,0,13.76
02/10/2015 04:43,1026,0,0,0,10.61,79.4,0,13.76
02/10/2015 04:44,1026,0,0,0,10.7,79.4,0,13.75
02/10/2015 04:45,1026,0,0,0,10.67,79.2,0,13.76
02/10/2015 04:46,1026,0,0,0,10.78,79,0,13.76
02/10/2015 04:47,1026,0,0,0,10.73,79,0,13.76
02/10/2015 04:48,1026,0,0,0,10.74,79,0,13.75
02/10/2015 04:49,1026,0,0,0,10.67,79,0,13.76
02/10/2015 04:50,1026,0,0,0,10.73,79,0,13.76
02/10/2015 04:51,1026,0,0,0,10.67,79.1,0,13.76
